split,session,gesture,feature_version,feature_index,feature_name,count,mean,std,min,q25,median,q75,max
train,session_01,SHAKE,features-v1,4,std_ay,120,0.05685365570243448,0.03306767317503094,0.010530085302889347,0.028205276932567358,0.0465361587703228,0.08512523770332336,0.1339474320411682
train,session_01,SHAKE,features-v1,5,std_az,120,0.033774639239224295,0.026125509441560318,0.007837997749447823,0.01603187108412385,0.022786756977438927,0.04369859118014574,0.11363706737756729
train,session_01,SHAKE,features-v1,6,rms_acc_mag_deviation,120,0.04467027172601471,0.037660533597508136,0.008817716501653194,0.019073949195444584,0.029284375719726086,0.057047994807362556,0.15507042407989502
train,session_01,SHAKE,features-v1,7,mean_gz,120,-0.10470799965163072,1.3721428255904897,-5.247015953063965,-0.934501513838768,0.014850994572043419,0.5973464995622635,3.0463390350341797
train,session_01,SHAKE,features-v1,8,std_gz,120,9.693970180551212,9.266465218245239,1.4906644821166992,3.5632551312446594,5.81816291809082,11.623463869094849,38.1922492980957
train,session_01,SHAKE,features-v1,9,rms_gyro_mag,120,11.722021545966467,9.610351814222778,2.313307762145996,5.165302515029907,8.404359340667725,13.522099018096924,40.86428451538086
train,session_01,SHAKE,features-v1,10,max_gyro_mag,120,28.503825891017915,19.661068543839427,6.876607418060303,15.034893035888672,21.586977005004883,34.081461906433105,92.21893310546875
validation,session_02,IDLE,features-v1,1,std_ax,40,0.0023536173830507323,0.0012142798536951172,0.001878780429251492,0.0019894333672709763,0.002124349004589021,0.0022609916632063687,0.009721653535962105
validation,session_02,IDLE,features-v1,2,max_abs_ax,40,0.011665000137872994,0.0036953047176198138,0.009399999864399433,0.010700000450015068,0.010999999940395355,0.01140000019222498,0.03400000184774399
validation,session_02,IDLE,features-v1,3,ax_half_mean_delta,40,-0.00015629999750217395,0.00044408998461748433,-0.001196000026538968,-0.0004415000439621508,-9.599999611964449e-05,0.00020650008445954882,0.0006899999571032822
validation,session_02,IDLE,features-v1,4,std_ay,40,0.0024694545194506646,0.001411258689332001,0.0016815097769722342,0.0019792848033830523,0.0021049698116257787,0.002283058944158256,0.008989051915705204
validation,session_02,IDLE,features-v1,5,std_az,40,0.0032213214610237626,0.0004351723410640595,0.002576465718448162,0.002997096977196634,0.003145697293803096,0.003365295415278524,0.005358505994081497
validation,session_02,IDLE,features-v1,6,rms_acc_mag_deviation,40,0.003220002050511539,0.0004301907750717227,0.002576197264716029,0.0029976204968988895,0.0031408247305080295,0.0033660907647572458,0.005299897398799658
validation,session_02,IDLE,features-v1,7,mean_gz,40,-0.0009989998528908473,0.00864594818214785,-0.02068299986422062,-0.006286999559961259,-0.0006819998088758439,0.004400500096380711,0.017712000757455826
validation,session_02,IDLE,features-v1,8,std_gz,40,0.04472960596904159,0.006513013717433228,0.036507491022348404,0.04133173916488886,0.04385785013437271,0.04688859172165394,0.07721244543790817
validation,session_02,IDLE,features-v1,9,rms_gyro_mag,40,0.0843176819384098,0.029508027735915907,0.06744156032800674,0.07494336739182472,0.07609470188617706,0.08078981004655361,0.21648283302783966
validation,session_02,IDLE,features-v1,10,max_gyro_mag,40,0.17706180587410927,0.05888001720655601,0.12382051348686218,0.14368561282753944,0.16371243447065353,0.1800333671271801,0.4477064907550812
validation,session_02,SWIPE_LEFT,features-v1,1,std_ax,40,0.04097925750538707,0.011244800358962501,0.02136950008571148,0.031131123658269644,0.040010711178183556,0.05057838838547468,0.05956915020942688
