probe_index,left_class_id,left_class_name,right_class_id,right_class_name,left_validation_index,right_validation_index,normalized_source_distance,alpha,predicted_class_id,predicted_class_name,normalized_predictive_entropy,mean_class_variance,max_class_variance,max_mean_confidence,endpoint_mean_entropy,endpoint_mean_variance,endpoint_mean_confidence
10,0,IDLE,3,ROTATE_CW,18,50,2.500913619995117,0.5,3,ROTATE_CW,0.012340578250586987,4.327236638346221e-06,1.1812614502559882e-05,0.9972569942474365,0.10779020190238953,0.0003410743083804846,0.949042558670044
11,0,IDLE,3,ROTATE_CW,10,50,2.5124270915985107,0.5,3,ROTATE_CW,0.014448503963649273,5.428771601145854e-06,1.3874981050321367e-05,0.9966537952423096,0.043346524238586426,0.0001450203126296401,0.9872218370437622
12,0,IDLE,3,ROTATE_CW,4,50,2.528867721557617,0.5,3,ROTATE_CW,0.019989902153611183,4.414805971464375e-06,1.1038040611310862e-05,0.9954221844673157,0.035436276346445084,0.0002974148956127465,0.9890283346176147
13,0,IDLE,3,ROTATE_CW,16,50,2.541163444519043,0.5,3,ROTATE_CW,0.04235482215881348,0.0001470939168939367,0.0003679106885101646,0.9875268936157227,0.013435682281851768,2.4248507543234155e-05,0.9965741038322449
14,0,IDLE,3,ROTATE_CW,31,50,2.5412919521331787,0.5,3,ROTATE_CW,0.039846036583185196,1.655820778978523e-05,3.511765680741519e-05,0.989886462688446,0.04584871605038643,0.0002893238852266222,0.9839942455291748
15,0,IDLE,4,SHAKE,18,81,2.1690006256103516,0.5,4,SHAKE,0.4746984839439392,0.0047602872364223,0.012658940628170967,0.6841562986373901,0.10798096656799316,0.0003410662175156176,0.9490221738815308
16,0,IDLE,4,SHAKE,10,81,2.254335641860962,0.5,1,SWIPE_LEFT,0.438786119222641,0.0060412101447582245,0.015350056812167168,0.684610903263092,0.043537288904190063,0.0001450122072128579,0.987201452255249
17,0,IDLE,4,SHAKE,18,106,2.2894904613494873,0.5,4,SHAKE,0.35354071855545044,0.025672825053334236,0.06876577436923981,0.8170645833015442,0.1075710728764534,0.0003410753852222115,0.949083685874939
18,0,IDLE,4,SHAKE,4,81,2.3388583660125732,0.5,1,SWIPE_LEFT,0.40841177105903625,0.0024903230369091034,0.006832418031990528,0.7532950043678284,0.03562704101204872,0.0002974068047478795,0.9890079498291016
19,0,IDLE,4,SHAKE,18,82,2.3467137813568115,0.5,1,SWIPE_LEFT,0.26421165466308594,0.0006127788219600916,0.001653545186854899,0.876090407371521,0.14912694692611694,0.00047099453513510525,0.9355603456497192
20,1,SWIPE_LEFT,2,SWIPE_RIGHT,122,179,0.33156436681747437,0.5,1,SWIPE_LEFT,0.0799107477068901,8.696294389665127e-05,0.00028115580789744854,0.9760384559631348,0.18336105346679688,0.0003353776119183749,0.9239004850387573
21,1,SWIPE_LEFT,2,SWIPE_RIGHT,153,179,0.41063401103019714,0.5,1,SWIPE_LEFT,0.10870277136564255,0.000600767380092293,0.0018351961625739932,0.9663703441619873,0.11522994935512543,0.0002324650267837569,0.959813117980957
22,1,SWIPE_LEFT,2,SWIPE_RIGHT,120,179,0.4416261911392212,0.5,1,SWIPE_LEFT,0.023032503202557564,6.212266271177214e-06,1.4996530808275566e-05,0.9949437975883484,0.043573200702667236,3.729468153323978e-05,0.9884191751480103
23,1,SWIPE_LEFT,2,SWIPE_RIGHT,125,179,0.4521225690841675,0.5,1,SWIPE_LEFT,0.14170725643634796,9.038831194629893e-05,0.0002442011027596891,0.9538516998291016,0.27559542655944824,0.0023443903774023056,0.8514598608016968
24,1,SWIPE_LEFT,2,SWIPE_RIGHT,137,179,0.4588877856731415,0.5,1,SWIPE_LEFT,0.08967967331409454,0.0003249580622650683,0.0012035391991958022,0.9750217199325562,0.04518597200512886,3.747258597286418e-05,0.9879721403121948
25,1,SWIPE_LEFT,3,ROTATE_CW,156,50,2.2580270767211914,0.5,3,ROTATE_CW,0.009297304786741734,5.835499337081274e-07,1.7525335351820104e-06,0.9981375336647034,0.1576787829399109,0.0006335160578601062,0.9332860708236694
26,1,SWIPE_LEFT,3,ROTATE_CW,154,50,2.3426032066345215,0.5,3,ROTATE_CW,0.015151959843933582,3.7227168832032476e-06,1.1603269740589894e-05,0.9967132806777954,0.07062669098377228,0.00012155235162936151,0.9764901399612427
27,1,SWIPE_LEFT,3,ROTATE_CW,137,50,2.404620409011841,0.5,3,ROTATE_CW,0.04702461510896683,6.90665838192217e-05,0.00018377196101937443,0.9873805046081543,0.009442441165447235,2.6251605049765203e-06,0.9979770183563232
28,1,SWIPE_LEFT,3,ROTATE_CW,153,50,2.409137487411499,0.5,3,ROTATE_CW,0.06295453757047653,0.0004018949985038489,0.0010505605023354292,0.98076331615448,0.0794864222407341,0.00019761761359404773,0.9698179960250854
29,1,SWIPE_LEFT,3,ROTATE_CW,125,50,2.426844835281372,0.5,3,ROTATE_CW,0.048587165772914886,1.206719025503844e-05,3.9432517951354384e-05,0.9874980449676514,0.23985189199447632,0.0023095430806279182,0.8614647388458252
30,1,SWIPE_LEFT,4,SHAKE,125,81,1.0090285539627075,0.5,4,SHAKE,0.13369305431842804,0.0014355891617015004,0.0037490217946469784,0.9498662352561951,0.24004265666007996,0.0023095349315553904,0.861444354057312
31,1,SWIPE_LEFT,4,SHAKE,122,81,1.0305547714233398,0.5,4,SHAKE,0.15191249549388885,0.0004136022471357137,0.0009958060691133142,0.9453701972961426,0.1478082835674286,0.0003005220787599683,0.9338849782943726
32,1,SWIPE_LEFT,4,SHAKE,158,82,1.1063859462738037,0.5,4,SHAKE,0.43045803904533386,0.02876387909054756,0.0743086189031601,0.648083508014679,0.04980684071779251,0.0001315878180321306,0.9847117066383362
33,1,SWIPE_LEFT,4,SHAKE,135,81,1.1703846454620361,0.5,4,SHAKE,0.26323994994163513,0.003031449392437935,0.007661785930395126,0.8700150847434998,0.006201387848705053,1.250786112905189e-06,0.9987818002700806
34,1,SWIPE_LEFT,4,SHAKE,158,81,1.182018518447876,0.5,4,SHAKE,0.16136829555034637,0.0009559501195326447,0.0024125748313963413,0.9309248924255371,0.008660859428346157,1.6594993894614163e-06,0.9981735348701477
35,2,SWIPE_RIGHT,3,ROTATE_CW,173,50,2.3761112689971924,0.5,3,ROTATE_CW,0.027636542916297913,7.937606824270915e-06,1.7204936739290133e-05,0.9934579133987427,0.0670263022184372,0.00014755100710317492,0.9798320531845093
36,2,SWIPE_RIGHT,3,ROTATE_CW,190,50,2.4016330242156982,0.5,3,ROTATE_CW,0.1950186938047409,0.010897877626121044,0.028006786480545998,0.9107345342636108,0.025938326492905617,1.0728172128438018e-05,0.992338240146637
37,2,SWIPE_RIGHT,3,ROTATE_CW,170,50,2.4034745693206787,0.5,3,ROTATE_CW,0.020576905459165573,3.723392183019314e-06,1.0070935786643531e-05,0.9952895641326904,0.04452639818191528,3.249413566663861e-05,0.9861301779747009
38,2,SWIPE_RIGHT,3,ROTATE_CW,160,50,2.4148001670837402,0.5,3,ROTATE_CW,0.05942519009113312,0.00010417048906674609,0.0002593349781818688,0.9836047291755676,0.030627194792032242,1.127852920035366e-05,0.9918361306190491
39,2,SWIPE_RIGHT,3,ROTATE_CW,168,50,2.425652027130127,0.5,3,ROTATE_CW,0.10881655663251877,0.000647701439447701,0.001811412745155394,0.9659290313720703,0.033460624516010284,1.2497820534917992e-05,0.9906373023986816
40,2,SWIPE_RIGHT,4,SHAKE,199,80,1.1985942125320435,0.5,4,SHAKE,0.34272468090057373,0.047219082713127136,0.11804798245429993,0.7595861554145813,0.04143620654940605,0.0004278352134861052,0.9861536026000977
41,2,SWIPE_RIGHT,4,SHAKE,193,92,1.2690465450286865,0.5,4,SHAKE,0.06311142444610596,0.00014139835548121482,0.00035369303077459335,0.97934889793396,0.148660808801651,0.019618716090917587,0.9177582263946533
42,2,SWIPE_RIGHT,4,SHAKE,195,92,1.309160828590393,0.5,4,SHAKE,0.06511496007442474,0.00017332831339444965,0.00043365382589399815,0.9783786535263062,0.17892223596572876,0.0196785070002079,0.9056200981140137
43,2,SWIPE_RIGHT,4,SHAKE,192,92,1.3164589405059814,0.5,4,SHAKE,0.14981256425380707,0.004569952376186848,0.01142521295696497,0.9359550476074219,0.14810651540756226,0.019616784527897835,0.9181729555130005
44,2,SWIPE_RIGHT,4,SHAKE,179,81,1.334282398223877,0.5,4,SHAKE,0.0960276648402214,0.00015300944505725056,0.0004833642451558262,0.9697138667106628,0.037634123116731644,3.48931280313991e-05,0.9896836280822754
45,3,ROTATE_CW,4,SHAKE,50,83,2.8674638271331787,0.5,3,ROTATE_CW,0.14899422228336334,0.000260597764281556,0.0005664946511387825,0.9503295421600342,0.01978391408920288,3.204705353709869e-05,0.9946366548538208
46,3,ROTATE_CW,4,SHAKE,50,81,2.913025379180908,0.5,3,ROTATE_CW,0.36633193492889404,0.0014462777180597186,0.004299468826502562,0.8422579169273376,0.0018905950710177422,4.570579648088824e-08,0.9996885061264038
47,3,ROTATE_CW,4,SHAKE,60,83,2.926593065261841,0.5,3,ROTATE_CW,0.12662629783153534,0.0009012149530462921,0.002286069793626666,0.9541643857955933,0.019079463556408882,3.202046354999766e-05,0.9947628974914551
48,3,ROTATE_CW,4,SHAKE,50,101,3.0119869709014893,0.5,2,SWIPE_RIGHT,0.7186092734336853,0.006551302969455719,0.017294341698288918,0.43632104992866516,0.0010329397628083825,2.8295048082327412e-08,0.9998288154602051
49,3,ROTATE_CW,4,SHAKE,50,106,3.01397705078125,0.5,2,SWIPE_RIGHT,0.7046855092048645,0.005070034880191088,0.01364995539188385,0.4355056881904602,0.001480701845139265,5.486590737291408e-08,0.999750018119812
